Tesla V100-PCIE-16GB
Training on cuda.
Epoch: 1 | Training Loss: 0.930 | Validation Loss: 0.440
Epoch: 2 | Training Loss: 0.429 | Validation Loss: 0.393
Epoch: 3 | Training Loss: 0.401 | Validation Loss: 0.382
Epoch: 4 | Training Loss: 0.390 | Validation Loss: 0.378
Epoch: 5 | Training Loss: 0.383 | Validation Loss: 0.373
Epoch: 6 | Training Loss: 0.378 | Validation Loss: 0.370
Epoch: 7 | Training Loss: 0.375 | Validation Loss: 0.366
Epoch: 8 | Training Loss: 0.372 | Validation Loss: 0.362
Epoch: 9 | Training Loss: 0.370 | Validation Loss: 0.359
Epoch: 10 | Training Loss: 0.368 | Validation Loss: 0.357
Epoch: 11 | Training Loss: 0.366 | Validation Loss: 0.355
Epoch: 12 | Training Loss: 0.364 | Validation Loss: 0.354
Epoch: 13 | Training Loss: 0.363 | Validation Loss: 0.354
Epoch: 14 | Training Loss: 0.361 | Validation Loss: 0.353
Epoch: 15 | Training Loss: 0.360 | Validation Loss: 0.352
Epoch: 16 | Training Loss: 0.359 | Validation Loss: 0.351
Epoch: 17 | Training Loss: 0.358 | Validation Loss: 0.350
Epoch: 18 | Training Loss: 0.357 | Validation Loss: 0.349
Epoch: 19 | Training Loss: 0.356 | Validation Loss: 0.347
Epoch: 20 | Training Loss: 0.355 | Validation Loss: 0.347
Epoch: 21 | Training Loss: 0.354 | Validation Loss: 0.346
Epoch: 22 | Training Loss: 0.353 | Validation Loss: 0.345
Epoch: 23 | Training Loss: 0.352 | Validation Loss: 0.345
Epoch: 24 | Training Loss: 0.351 | Validation Loss: 0.344
Epoch: 25 | Training Loss: 0.350 | Validation Loss: 0.343
Epoch: 26 | Training Loss: 0.349 | Validation Loss: 0.342
Epoch: 27 | Training Loss: 0.348 | Validation Loss: 0.342
Epoch: 28 | Training Loss: 0.347 | Validation Loss: 0.341
Epoch: 29 | Training Loss: 0.347 | Validation Loss: 0.341
Epoch: 30 | Training Loss: 0.346 | Validation Loss: 0.341
Epoch: 31 | Training Loss: 0.345 | Validation Loss: 0.340
Epoch: 32 | Training Loss: 0.344 | Validation Loss: 0.339
Epoch: 33 | Training Loss: 0.343 | Validation Loss: 0.339
Epoch: 34 | Training Loss: 0.343 | Validation Loss: 0.338
Epoch: 35 | Training Loss: 0.342 | Validation Loss: 0.338
Epoch: 36 | Training Loss: 0.341 | Validation Loss: 0.337
Epoch: 37 | Training Loss: 0.340 | Validation Loss: 0.337
Epoch: 38 | Training Loss: 0.340 | Validation Loss: 0.336
Epoch: 39 | Training Loss: 0.339 | Validation Loss: 0.336
Epoch: 40 | Training Loss: 0.338 | Validation Loss: 0.336
Epoch: 41 | Training Loss: 0.338 | Validation Loss: 0.335
Epoch: 42 | Training Loss: 0.337 | Validation Loss: 0.335
Epoch: 43 | Training Loss: 0.337 | Validation Loss: 0.335
Epoch: 44 | Training Loss: 0.336 | Validation Loss: 0.334
Epoch: 45 | Training Loss: 0.336 | Validation Loss: 0.334
Epoch: 46 | Training Loss: 0.335 | Validation Loss: 0.334
Epoch: 47 | Training Loss: 0.335 | Validation Loss: 0.333
Epoch: 48 | Training Loss: 0.335 | Validation Loss: 0.333
Epoch: 49 | Training Loss: 0.334 | Validation Loss: 0.333
Epoch: 50 | Training Loss: 0.334 | Validation Loss: 0.332
Batch 0. Accuracy: 89.844% | AUC: 0.860 | Loss: 0.27
Batch 1. Accuracy: 87.500% | AUC: 0.675 | Loss: 0.35
Batch 2. Accuracy: 85.938% | AUC: 0.809 | Loss: 0.38
Batch 3. Accuracy: 91.406% | AUC: 0.898 | Loss: 0.26
Batch 4. Accuracy: 90.625% | AUC: 0.864 | Loss: 0.29
Batch 5. Accuracy: 86.719% | AUC: 0.806 | Loss: 0.32
Batch 6. Accuracy: 90.625% | AUC: 0.909 | Loss: 0.25
Batch 7. Accuracy: 88.281% | AUC: 0.736 | Loss: 0.40
Batch 8. Accuracy: 85.938% | AUC: 0.839 | Loss: 0.36
Batch 9. Accuracy: 85.938% | AUC: 0.804 | Loss: 0.34
Batch 10. Accuracy: 88.281% | AUC: 0.799 | Loss: 0.35
Batch 11. Accuracy: 87.500% | AUC: 0.866 | Loss: 0.42
Batch 12. Accuracy: 88.281% | AUC: 0.805 | Loss: 0.29
Batch 13. Accuracy: 86.719% | AUC: 0.677 | Loss: 0.38
Batch 14. Accuracy: 85.938% | AUC: 0.899 | Loss: 0.39
Batch 15. Accuracy: 89.844% | AUC: 0.858 | Loss: 0.27
Batch 16. Accuracy: 89.062% | AUC: 0.644 | Loss: 0.38
Batch 17. Accuracy: 89.844% | AUC: 0.829 | Loss: 0.32
Batch 18. Accuracy: 80.000% | AUC: 0.639 | Loss: 0.53
