Tesla V100-SXM2-32GB
Training on cuda.
Epoch: 1 | Training Loss: 3.060 | Validation Loss: 0.444
Epoch: 2 | Training Loss: 0.425 | Validation Loss: 0.401
Epoch: 3 | Training Loss: 0.393 | Validation Loss: 0.386
Epoch: 4 | Training Loss: 0.379 | Validation Loss: 0.377
Epoch: 5 | Training Loss: 0.371 | Validation Loss: 0.373
Epoch: 6 | Training Loss: 0.366 | Validation Loss: 0.367
Epoch: 7 | Training Loss: 0.362 | Validation Loss: 0.365
Epoch: 8 | Training Loss: 0.356 | Validation Loss: 0.361
Epoch: 9 | Training Loss: 0.351 | Validation Loss: 0.357
Epoch: 10 | Training Loss: 0.347 | Validation Loss: 0.354
Epoch: 11 | Training Loss: 0.343 | Validation Loss: 0.352
Epoch: 12 | Training Loss: 0.340 | Validation Loss: 0.350
Epoch: 13 | Training Loss: 0.337 | Validation Loss: 0.349
Epoch: 14 | Training Loss: 0.334 | Validation Loss: 0.347
Epoch: 15 | Training Loss: 0.331 | Validation Loss: 0.346
Epoch: 16 | Training Loss: 0.328 | Validation Loss: 0.346
Epoch: 17 | Training Loss: 0.326 | Validation Loss: 0.347
Epoch: 18 | Training Loss: 0.323 | Validation Loss: 0.346
Epoch: 19 | Training Loss: 0.321 | Validation Loss: 0.347
Epoch: 20 | Training Loss: 0.319 | Validation Loss: 0.346
Epoch: 21 | Training Loss: 0.317 | Validation Loss: 0.346
Epoch: 22 | Training Loss: 0.315 | Validation Loss: 0.346
Epoch: 23 | Training Loss: 0.313 | Validation Loss: 0.346
Epoch: 24 | Training Loss: 0.311 | Validation Loss: 0.346
Epoch: 25 | Training Loss: 0.309 | Validation Loss: 0.346
Epoch: 26 | Training Loss: 0.307 | Validation Loss: 0.348
Epoch: 27 | Training Loss: 0.306 | Validation Loss: 0.347
Epoch: 28 | Training Loss: 0.304 | Validation Loss: 0.347
Epoch: 29 | Training Loss: 0.303 | Validation Loss: 0.347
Epoch: 30 | Training Loss: 0.301 | Validation Loss: 0.347
Epoch: 31 | Training Loss: 0.299 | Validation Loss: 0.347
Epoch: 32 | Training Loss: 0.298 | Validation Loss: 0.347
Epoch: 33 | Training Loss: 0.297 | Validation Loss: 0.347
Training finished at epoch 34
Batch 0. Accuracy: 89.062% | AUC: 0.813 | Loss: 0.31
Batch 1. Accuracy: 87.500% | AUC: 0.709 | Loss: 0.38
Batch 2. Accuracy: 89.062% | AUC: 0.836 | Loss: 0.37
Batch 3. Accuracy: 91.406% | AUC: 0.944 | Loss: 0.23
Batch 4. Accuracy: 89.844% | AUC: 0.900 | Loss: 0.25
Batch 5. Accuracy: 86.719% | AUC: 0.872 | Loss: 0.29
Batch 6. Accuracy: 89.844% | AUC: 0.873 | Loss: 0.32
Batch 7. Accuracy: 85.156% | AUC: 0.743 | Loss: 0.46
Batch 8. Accuracy: 82.812% | AUC: 0.844 | Loss: 0.43
Batch 9. Accuracy: 91.406% | AUC: 0.820 | Loss: 0.36
Batch 10. Accuracy: 85.156% | AUC: 0.837 | Loss: 0.43
Batch 11. Accuracy: 85.156% | AUC: 0.834 | Loss: 1.12
Batch 12. Accuracy: 88.281% | AUC: 0.803 | Loss: 0.31
Batch 13. Accuracy: 88.281% | AUC: 0.723 | Loss: 0.40
Batch 14. Accuracy: 88.281% | AUC: 0.916 | Loss: 1.03
Batch 15. Accuracy: 86.719% | AUC: 0.845 | Loss: 0.29
Batch 16. Accuracy: 87.500% | AUC: 0.778 | Loss: 0.36
Batch 17. Accuracy: 91.406% | AUC: 0.871 | Loss: 0.32
Batch 18. Accuracy: 82.222% | AUC: 0.770 | Loss: 0.45
